"","temp_ssp2_20","temp_ssp4_20","chl_ssp2_20","chl_ssp4_20","mld_ssp2_20","mld_ssp4_20","temp_ssp2_50","temp_ssp4_50","chl_ssp2_50","chl_ssp4_50","mld_ssp2_50","mld_ssp4_50","temp_ssp2_90","temp_ssp4_90","chl_ssp2_90","chl_ssp4_90","mld_ssp2_90","mld_ssp4_90","occurance_status","long","lat"
"9929",27.3902122675115,27.538444920572,0.111731498824763,0.098227406012108,26.0261735281018,26.7836886491162,28.0841225649751,28.3394650254653,0.109185667121705,0.117886637179901,25.74551712493,27.2599588649152,28.6903408563839,29.2490642514222,0.105012147851225,0.111638436435994,26.8990111058498,27.1544522818964,"ABSENT",-84.825,25.475
"9930",27.3638116655421,27.3608221891175,0.20861345427406,0.207976270378524,19.0023001050933,18.8179693857251,28.0401128172005,28.20991374128,0.208520959263243,0.208496946983849,19.0377941745055,18.9886249933845,28.5804234556269,28.9741851455082,0.211672337013412,0.208678092449816,19.3504393302311,19.299174643503,"ABSENT",-91.425,20.825
"9931",29.5188055595117,29.5391470546057,0.307820913628318,0.312492271615612,12.2325479115755,11.611781049474,30.2594755140935,30.4098538931673,0.309117888747374,0.310635648922366,12.3778363019977,11.7068639602932,30.9149509563788,31.3643311508633,0.307269869505586,0.308082859240176,12.6981887166385,12.0836533152739,"ABSENT",-97.125,15.875
"9932",28.8612397333279,28.9011063966031,0.271442430916484,0.280618516737303,11.3314202900474,10.8222321739714,29.6322115591242,29.8325643827341,0.27272743810131,0.276111435299366,11.4785486990358,10.9583031579856,30.305891713809,30.8260726115538,0.270423739741303,0.270330791088038,11.8249249867467,11.8061024236604,"ABSENT",-94.625,15.525
"9933",26.8044077315505,26.8435087752438,0.127250197532822,0.123442451249827,30.1108242080301,30.5232587963715,27.5278761473684,27.6633875085089,0.132567874861172,0.141930952359555,30.3679474353652,30.6091940925246,28.0946516489303,28.5054073555557,0.136295190275215,0.144892624004313,30.9968997796754,31.0941041305372,"ABSENT",-91.125,24.875
"9934",26.0729566015069,26.2249023384486,0.535007934491238,0.552881799717086,14.8743558411582,13.85156796877,26.8433161279792,27.0312872425715,0.535694150013191,0.544056737148028,14.487982606518,14.2084667152374,27.4174141120168,27.8889048133958,0.539679342729686,0.538463931614231,15.4328356185913,16.1442116542562,"ABSENT",-97.625,22.875
"9935",26.9679594864139,27.0053248988126,0.116248406762241,0.117733295749308,30.0876494531199,30.233278148283,27.6781473102563,27.8079416360316,0.119574530267305,0.131703333133431,29.7897475749835,30.842046226505,28.2319277284981,28.5971624219377,0.121682526231392,0.129570899406372,30.3674999557175,30.4027818810677,"ABSENT",-90.375,24.325
"9936",28.5084866617361,28.5674813652554,0.0877969114855349,0.088151394565884,31.8963537157378,32.763968315932,29.2094200436194,29.4052117322274,0.0882440799396328,0.0895043610604166,33.0560996636895,34.1057885934039,29.8253567453489,30.296372458616,0.0893700695423836,0.0911864633318877,33.7188681708782,34.6171350121665,"ABSENT",-81.125,19.725
"9937",27.5476058461723,27.5617271509554,0.134023313177531,0.131581927947725,17.3893151752601,17.186210112869,28.2341569277998,28.4124504946604,0.134320622947004,0.13396835439397,17.4186016317235,17.4853399827895,28.7983175335578,29.1933957067447,0.138904415944378,0.134583204450534,17.9894125237849,18.2532931481016,"ABSENT",-92.025,20.275
"9938",28.3640079929736,28.3607192694927,0.106935942343097,0.116013638532659,19.0200822679874,18.7525560013094,29.0187256590045,29.0670256420181,0.111300524058855,0.107518173331778,19.631978283278,18.7827040634973,29.5796667663696,29.8778954936824,0.112050602274986,0.110150289594546,20.0204908089151,20.5066111498839,"ABSENT",-85.675,16.075
"9939",23.8945451677653,24.0248091371287,1.73305103652785,1.88225837241467,7.99628872021912,7.26584514330949,24.6953860560537,24.9399814337936,1.84363272121801,2.16429714298125,8.06984319951195,8.70051336319914,25.3043293439874,25.8684510970388,1.9218087993168,2.20119737727554,8.31415156157006,8.62615604498424,"ABSENT",-89.075,29.025
"9940",25.1260547381066,25.3112276513091,0.261358168185028,0.227262476530291,22.9078609288311,22.0583147830086,25.9406725511787,26.245226788038,0.257077925699887,0.222764507105732,22.3139211882346,23.5243901466566,26.5676283306413,27.304172642063,0.239005908617703,0.21476525439366,22.9612486659848,23.5460157959461,"ABSENT",-84.725,28.475
"9941",28.5555696780426,28.5571483895498,0.0739019663414711,0.0828814327239567,32.9497781661793,32.7086460903544,29.2085712841641,29.2706423821898,0.0749739253354847,0.0746083086746977,33.5632019192159,33.4686760600227,29.7794976786579,30.0752313414616,0.0748625950921077,0.0739154297369486,34.1584900376038,34.5095276906566,"ABSENT",-86.675,17.475
"9942",27.16179395379,27.2302592170115,0.0917470343536404,0.0846672758749213,24.7663806385134,24.1964115001,27.8969299424279,28.0661518818522,0.0959257598291939,0.101697980213331,24.7248698513076,24.3270491335168,28.4657180936791,28.8831287776203,0.0942846551378657,0.0936456275027578,25.6739240621524,26.1166714758357,"ABSENT",-95.425,22.275
"9943",25.1119077376811,25.2846282465114,0.235860744683259,0.308850222496948,22.6152010929697,22.0496384356886,25.9067501089889,26.2576032612882,0.264161608181165,0.357899390761384,22.0482051456782,23.9130182052578,26.5258603613113,27.2303203864989,0.298139344831178,0.364253281066965,22.6341294568989,23.9643831861771,"ABSENT",-87.575,29.175
"9944",26.7863505418215,26.8314261229706,0.134063719825028,0.146277384875944,26.1570028912632,26.7424069708109,27.4943247204535,27.6533184171989,0.162323358650673,0.218243662562132,25.3589255742287,26.5549022471637,28.0836017218058,28.5153492998956,0.170844103002122,0.218024768409655,27.1560673292855,26.7262183603316,"ABSENT",-88.575,26.325
"9945",26.6545362488494,26.7054195736025,0.136384314621691,0.133760838343874,27.889471420221,28.4231097482279,27.3815844208365,27.5282324751062,0.147058911626245,0.177014474873421,28.0752521759514,28.1444047059967,27.9610845862254,28.3979933063579,0.154691092283766,0.172899619742871,29.2230107387712,28.9200117085991,"ABSENT",-90.425,25.575
"9946",28.6595332195098,28.6731210941539,0.0657847118278945,0.0683423255936904,30.6166300485702,30.3398657133505,29.3309987195532,29.4255607075879,0.0763820868873071,0.0749625879518317,31.1652513425494,31.2990340781973,29.9150516404685,30.2706428465309,0.0770406018129181,0.0878716243549404,31.8537648729316,32.1522858365052,"ABSENT",-83.775,18.175
