"","temp_current","chl_current","mld_current","temp_ssp2_50","temp_ssp4_50","chl_ssp2_50","chl_ssp4_50","mld_ssp2_50","mld_ssp4_50","temp_ssp2_90","temp_ssp4_90","chl_ssp2_90","chl_ssp4_90","mld_ssp2_90","mld_ssp4_90","occurance_status","long","lat"
"1",27.5494493774662,0.221511691900698,16.3394722107287,28.4160872845661,28.5059236242677,0.218946645561375,0.219602145508745,16.3114499302312,15.5777378794651,28.9954930580117,29.2918767227201,0.219689896732679,0.220783345195368,16.0577106927692,15.2860264602783,"PRESENT",-86.4598,21.3708
"2",26.8807087740998,0.210196081791895,15.5275868367699,27.7506311093895,27.8399539598002,0.207733058187264,0.208494316665069,15.5233819322357,14.8731662234548,28.3276681998689,28.6252375866906,0.208506285988546,0.209585895418686,15.2800767797414,14.5605197680134,"PRESENT",-86.727791,21.302681
"4",26.6107594213777,0.196154137245458,12.4658419811292,27.4704981105634,27.5680365804374,0.194090803705581,0.195103112191613,12.5526266180666,12.0591120231194,28.0347779455823,28.3354670465654,0.195043782979275,0.195766777730461,12.1309287467614,11.9893373205292,"PRESENT",-87.379228,21.766482
"5",28.0515872252544,0.0968200274369196,22.1078482958839,28.9323978176267,29.0030170123336,0.0936228923513097,0.093403895693028,22.8095103825617,22.2018191447119,29.5036471422359,29.7906136166685,0.0940063939563974,0.0933886696326476,22.8942941890147,22.8171753117963,"PRESENT",-87.277767,19.863173
"6",28.4187942752051,0.115982735686143,20.8089010883727,29.2913549252559,29.3592358146439,0.11285623682214,0.108402694976569,21.5945430132612,20.8061382810961,29.8635417980349,30.1594925323337,0.114523643604108,0.108038061517255,22.122563523944,22.2674466803408,"PRESENT",-86.9782,16.103
"7",28.3708794114904,0.118872746588379,21.5269095650056,29.2431160650201,29.3093824606973,0.116161352925875,0.112731008049799,22.3479270547527,21.4984253243066,29.8128346830933,30.1078637987105,0.117643910112166,0.112579895228282,22.8262628901086,22.9755719536137,"PRESENT",-86.8796,16.0925
"8",28.4981720521289,0.0983338674230924,16.7659512649558,29.3694606515672,29.4421060378536,0.0948156008312387,0.0883753072784131,17.3255910887856,17.0273603968987,29.9494598256871,30.2410686619875,0.0963258504944247,0.087584965869308,18.1624886050612,18.3803571339782,"PRESENT",-88.0183,16.4779
"9",26.062375088578,0.202164804578903,20.2801194735427,27.065333475086,27.2324419292186,0.202533498078272,0.216653760964674,20.5434779810387,20.2943288163684,27.6187756682199,28.0591887500308,0.207184442179608,0.216742975148951,21.6752907379435,21.590845330296,"PRESENT",-97.22,24.18
"12",28.2100619070655,0.149947029843151,25.4651900351762,29.0835284273369,29.1774012217636,0.147494022120858,0.148294740821516,25.6149066284373,25.0817166775653,29.6640560887658,29.9774918547627,0.148221482004021,0.149328743142277,25.3963172393863,24.9321758657464,"PRESENT",-86.180596,21.216839
"14",26.901576742768,0.198280381336369,15.6246471100716,27.7709708019015,27.8605099300099,0.195864896332417,0.196659247800772,15.6283196705148,14.9833634918378,28.3484236813236,28.6435168908576,0.196658557678971,0.197773468492856,15.3759785996654,14.6370172669706,"PRESENT",-86.753518,21.541629
"17",26.9316882623612,0.207566261353668,17.4274052210675,27.8019026956019,27.8910344263114,0.205128604785125,0.205906370326338,17.4243083538491,16.7854763524672,28.3787303214259,28.6752408372443,0.205912763106951,0.206990158610756,17.1869851027687,16.4635612307215,"PRESENT",-86.763274,21.351364
"18",28.0528412675724,0.176396845630096,25.0478971051149,28.9170453913279,29.0204164064989,0.174278836684299,0.175558006719288,25.2022395641793,24.753935641004,29.4980654174783,29.813333351125,0.175234771067714,0.176906765586657,24.7233399346133,24.4497956213388,"PRESENT",-86.193737,21.780909
"19",28.3307120936222,0.115501967877624,22.1610973241176,29.202717945013,29.2685039965967,0.113081276093758,0.110273537601244,22.9940662371316,22.1222995091083,29.7712408379624,30.0658705819401,0.114489271143004,0.110245136665586,23.4393881709961,23.6137546160437,"PRESENT",-86.801024,16.036215
"21",26.850902069439,0.20830242377828,10.9325141399853,27.7205478699196,27.8109130195919,0.205846784644511,0.206622394901193,10.9570178740559,10.2983698657351,28.2977969386097,28.59741012046,0.2066197913834,0.207685208556129,10.6920454672287,10.0020321065113,"PRESENT",-86.713125,21.29839
"22",27.7120829445128,0.218214030322448,15.9099628344334,28.5798829854014,28.6698036267475,0.215667812610954,0.216349296891882,15.8986674600222,15.1987775874648,29.1594287291459,29.4578833143872,0.216410425171818,0.21750203301174,15.6649105802897,14.9328278273505,"PRESENT",-86.42944,21.31496
"23",27.813409401959,0.201179786791395,19.2477869700228,28.6733935941596,28.7749776817916,0.198869056599091,0.199879188703744,19.3486627467012,18.7281377669064,29.2544694526959,29.563399927142,0.199732973851136,0.201146135726882,18.8633979850816,18.4103313084451,"PRESENT",-86.32429,21.73662
"24",28.3752747669748,0.133076929040105,15.3109135405574,29.2484425484317,29.3168719797717,0.12997032191946,0.125568215414301,16.1254169579264,15.327263351434,29.820079791741,30.1172629349584,0.131763465759579,0.125210520772151,16.6320493011404,16.8358004635488,"PRESENT",-86.995537,16.012686
"25",26.4874960342344,0.195520423529414,12.2393725573908,27.3481788741875,27.4425907738251,0.19332137871938,0.194116886297034,12.3337708041703,11.7835868324639,27.9156132937335,28.2134291176793,0.194240788899069,0.194872045762487,11.9465970560881,11.7046759206381,"PRESENT",-87.214315,21.658176
